date,brega funk,isPartial
2018-01-01,0,False
2018-02-01,0,False
2018-03-01,0,False
2018-04-01,0,False
2018-05-01,0,False
2018-06-01,0,False
2018-07-01,0,False
2018-08-01,0,False
2018-09-01,0,False
2018-10-01,0,False
2018-11-01,0,False
2018-12-01,0,False
2019-01-01,0,False
2019-02-01,6,False
2019-03-01,11,False
2019-04-01,18,False
2019-05-01,24,False
2019-06-01,38,False
2019-07-01,52,False
2019-08-01,53,False
2019-09-01,73,False
2019-10-01,70,False
2019-11-01,79,False
2019-12-01,100,False
2020-01-01,81,False
2020-02-01,85,False
2020-03-01,59,False
2020-04-01,39,False
2020-05-01,36,False
2020-06-01,41,False
2020-07-01,37,False
2020-08-01,40,False
2020-09-01,30,False
2020-10-01,38,False
2020-11-01,32,False
2020-12-01,28,False
2021-01-01,27,False
2021-02-01,25,False
2021-03-01,23,False
2021-04-01,22,False
2021-05-01,17,False
2021-06-01,18,False
2021-07-01,18,False
2021-08-01,24,False
2021-09-01,14,False
2021-10-01,15,False
2021-11-01,15,False
2021-12-01,22,False
2022-01-01,15,False
2022-02-01,17,False
2022-03-01,14,False
2022-04-01,17,False
2022-05-01,13,False
2022-06-01,15,False
2022-07-01,13,False
2022-08-01,15,False
2022-09-01,13,False
2022-10-01,13,False
2022-11-01,8,False
2022-12-01,11,False
2023-01-01,9,False
2023-02-01,11,False
2023-03-01,7,False
2023-04-01,8,False
2023-05-01,6,False
2023-06-01,4,False
2023-07-01,7,False
2023-08-01,8,False
2023-09-01,7,False
2023-10-01,13,False
2023-11-01,9,False
2023-12-01,11,False
2024-01-01,8,False
2024-02-01,10,False
2024-03-01,12,False
2024-04-01,8,False
2024-05-01,9,False
2024-06-01,8,False
2024-07-01,14,False
2024-08-01,13,False
2024-09-01,11,False
2024-10-01,11,False
2024-11-01,9,False
2024-12-01,14,False
2025-01-01,8,False
2025-02-01,8,False
2025-03-01,11,False
2025-04-01,12,False
2025-05-01,7,False
2025-06-01,11,False
2025-07-01,10,False
2025-08-01,12,False
2025-09-01,11,False
2025-10-01,9,False
2025-11-01,9,False
2025-12-01,16,False
